Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
HSI,2018-10-10,26281.2793,26499.83984,26193.07031,26193.07031,26193.07031,1719141400.0,3405.0991403
HSI,2018-10-11,25392.90039,25437.84961,25125.2207,25266.36914,25266.36914,3090446400.0,3284.6279882
HSI,2018-10-12,25401.41016,25835.75977,25286.85938,25801.49023,25801.49023,2099313400.0,3354.1937299
HSI,2018-10-15,25683.58984,25683.58984,25399.53906,25445.06055,25445.06055,1614888500.0,3307.8578715
HSI,2018-10-16,25586.16016,25712.13086,25266.53906,25462.25977,25462.25977,1467251700.0,3310.0937701000003
HSI,2018-10-18,25674.66016,25674.66016,25261.7207,25454.55078,25454.55078,1764725000.0,3309.0916014000004
HSI,2018-10-19,25172.0293,25743.44922,25090.30078,25561.40039,25561.40039,2037871700.0,3322.9820507
HSI,2018-10-22,25668.33008,26234.85938,25668.33008,26153.15039,26153.15039,2222812200.0,3399.9095507
HSI,2018-10-23,26015.49023,26015.49023,25315.75977,25346.55078,25346.55078,1772912000.0,3295.0516014000004
HSI,2018-10-24,25401.16992,25653.35938,25194.28906,25249.7793,25249.7793,1962753500.0,3282.471309
HSI,2018-10-25,24766.7207,24994.46094,24653.78906,24994.46094,24994.46094,2288634200.0,3249.2799222000003
HSI,2018-10-26,25031.49023,25062.19922,24589.03906,24717.63086,24717.63086,1688395600.0,3213.2920118
HSI,2018-10-29,24955.78906,24955.78906,24594.74023,24812.03906,24812.03906,2000985900.0,3225.5650778
HSI,2018-10-30,24765.11914,24939.17969,24540.63086,24585.5293,24585.5293,2100387500.0,3196.118809
HSI,2018-10-31,24752.83008,24979.68945,24700.10938,24979.68945,24979.68945,2363084500.0,3247.3596285000003
HSI,2018-11-01,25228.75,25535.11914,25190.90039,25416.0,25416.0,2176972600.0,3304.08
HSI,2018-11-02,25980.43945,26486.34961,25909.71094,26486.34961,26486.34961,3518978800.0,3443.2254493
HSI,2018-11-05,26050.33984,26146.81055,25747.51953,25934.39063,25934.39063,1626675400.0,3371.4707819000005
HSI,2018-11-06,26062.24023,26159.83008,25826.68945,26120.96094,26120.96094,1562913100.0,3395.7249222
HSI,2018-11-07,26125.08984,26530.86914,25920.7207,26147.68945,26147.68945,1731287400.0,3399.1996285000005
HSI,2018-11-08,26491.26953,26491.26953,26141.25,26227.7207,26227.7207,1654626400.0,3409.6036910000003
HSI,2018-11-09,25925.08984,25925.08984,25475.32031,25601.91992,25601.91992,1839798600.0,3328.2495896
